Timestamp,PWM,Distance_cm
54:14.363,29,20.0
54:14.405,29,19.0
54:14.459,29,20.0
54:14.513,29,20.0
54:14.555,29,20.0
54:14.609,29,19.0
54:14.663,29,20.0
54:14.715,29,19.0
54:14.759,29,19.0
54:14.812,29,19.0
54:14.856,29,19.0
54:14.909,29,19.0
54:14.961,29,20.0
54:15.015,29,19.0
54:15.056,29,19.0
54:15.109,29,19.0
54:15.162,29,19.0
54:15.215,29,20.0
54:15.258,29,20.0
54:15.310,29,19.0
54:15.361,29,20.0
54:15.414,29,19.0
54:15.456,29,18.0
54:15.510,29,19.0
54:15.563,29,19.0
54:15.606,29,19.0
54:15.660,29,19.0
54:15.712,29,17.0
54:15.756,29,19.0
54:15.809,29,20.0
54:15.861,29,12.0
54:15.913,29,20.0
54:15.956,29,20.0
54:16.008,29,18.0
54:16.062,29,19.0
54:16.115,29,19.0
54:16.157,29,20.0
54:16.211,29,19.0
54:16.264,29,20.0
54:16.307,29,19.0
54:16.360,29,19.0
54:16.413,29,20.0
54:16.457,29,19.0
54:16.510,29,20.0
54:16.564,29,20.0
54:16.607,29,20.0
54:16.660,29,19.0
54:16.713,29,19.0
54:16.766,29,19.0
54:16.809,29,19.0
54:16.862,29,20.0
54:16.915,29,19.0
54:16.959,29,20.0
54:17.011,29,19.0
54:17.064,29,20.0
54:17.107,29,20.0
54:17.160,29,20.0
54:17.214,29,20.0
54:17.256,29,19.0
54:17.310,29,20.0
54:17.362,29,20.0
54:17.416,29,20.0
54:17.458,29,20.0
54:17.512,29,19.0
54:17.565,29,19.0
54:17.608,29,19.0
54:17.660,29,19.0
54:17.713,29,19.0
54:17.767,29,19.0
54:17.810,29,19.0
54:17.864,29,19.0
54:17.916,29,19.0
54:17.959,29,18.0
54:18.012,29,19.0
54:18.064,29,18.0
54:18.118,29,18.0
54:18.161,29,19.0
54:18.213,29,19.0
54:18.266,29,19.0
54:18.309,29,18.0
54:18.362,29,18.0
54:18.414,29,19.0
54:18.468,29,19.0
54:18.510,29,19.0
54:18.563,29,19.0
54:18.616,29,19.0
54:18.658,29,19.0
54:18.711,29,19.0
54:18.765,29,19.0
54:18.817,29,20.0
54:18.859,29,18.0
54:18.911,29,20.0
54:18.964,29,19.0
54:19.008,29,17.0
54:19.062,29,18.0
54:19.114,29,19.0
54:19.157,29,20.0
54:19.209,29,20.0
54:19.262,29,20.0
54:19.315,29,20.0
54:19.358,29,19.0
54:19.411,29,19.0
54:19.465,29,20.0
54:19.508,29,19.0
54:19.560,29,19.0
54:19.615,29,20.0
54:19.659,29,20.0
54:19.711,29,19.0
54:19.765,29,19.0
54:19.808,29,19.0
54:19.862,29,20.0
54:19.914,29,20.0
54:19.959,29,19.0
54:20.012,29,19.0
54:20.065,29,19.0
54:20.116,29,20.0
54:20.159,29,20.0
54:20.213,29,20.0
54:20.267,29,19.0
54:20.309,29,20.0
54:20.362,29,20.0
54:20.414,29,20.0
54:20.467,29,20.0
54:20.509,29,19.0
54:20.561,29,20.0
54:20.613,29,20.0
54:20.665,29,20.0
54:20.709,29,19.0
54:20.761,29,19.0
54:20.815,29,20.0
54:20.867,29,19.0
54:20.909,29,20.0
54:20.962,29,20.0
54:21.015,29,19.0
